Date,Open,High,Low,Close,Volume
2024-05-21,2391.48,2420.78,2373.01,2401.8,3771264
2024-05-22,2396.96,2423.43,2388.18,2407.38,3624531
2024-05-23,2413.36,2436.07,2404.9,2419.73,8452027
2024-05-24,2436.64,2447.52,2424.45,2436.78,8735262
2024-05-27,2418.31,2443.68,2410.34,2429.19,8030692
2024-05-28,2410.7,2432.75,2401.13,2416.61,7762730
2024-05-29,2403.15,2415.86,2383.56,2403.57,3834826
2024-05-30,2414.92,2424.28,2397.95,2410.7,6897874
2024-05-31,2416.14,2436.04,2396.5,2409.73,5614516
2024-06-03,2437.82,2443.09,2415.47,2427.35,7249824
2024-06-04,2443.45,2453.69,2435.3,2444.66,4767553
2024-06-05,2420.02,2446.06,2411.09,2429.85,6016154
2024-06-06,2424.85,2437.49,2398.87,2417.17,8900018
2024-06-07,2412.85,2431.05,2401.94,2412.91,4334336
2024-06-10,2395.54,2407.5,2386.01,2395.74,4180337
2024-06-11,2390.48,2400.26,2380.51,2393.45,5722502
2024-06-12,2411.38,2418.18,2384.34,2403.24,8981275
2024-06-13,2392.2,2401.0,2380.47,2386.44,6272908
2024-06-14,2407.35,2417.76,2393.78,2405.21,5308169
2024-06-17,2413.54,2424.58,2398.61,2418.8,8326459
2024-06-18,2429.32,2444.32,2416.65,2435.33,4592569
2024-06-19,2452.86,2464.28,2440.58,2446.02,8292337
2024-06-20,2452.28,2465.6,2435.21,2443.27,3675928
2024-06-21,2433.46,2445.22,2411.6,2427.89,8406379
2024-06-24,2441.63,2460.66,2428.38,2441.98,4432462
2024-06-25,2437.99,2451.21,2421.91,2441.74,8476232
2024-06-26,2437.6,2447.11,2420.49,2433.85,6308196
2024-06-27,2424.31,2430.44,2408.36,2420.87,7169773
2024-06-28,2422.23,2433.36,2405.85,2423.36,6585484
